,p-error,p-iqr,p-under_mu,p-under_mu2,p-skew,p-count_var,p-count_kl,p-patchiness,p-centroids,p-point_dist,a-error,a-iqr,a-under_mu,a-under_mu2,a-skew,a-count_var,a-count_kl,a-centroids,a-point_dist,a-patchiness,EEE,VRM,IsoScore,alpha,new_average
bert-small_6_2,0.1904305,0.0914035141468048,0.5166585238327891,0.0,0.1474024990393223,0.3711790736705507,0.2124826679909753,1.0224507282155535,0.021971097,0.93481279296875,0.105404206,0.1137123703956604,0.5292499164288103,0.003197133722475,0.1319168756450368,0.2097956553240015,0.1111166951714157,0.005486488,0.95873935546875,1.0124454843598858,0.8158,0.6865,0.0998,6.0,0.5371624789248239
bert-small_7_3,0.16863938,0.101872980594635,0.5343070448370147,0.0035571326939065,0.1175231816827366,0.5266061237020166,0.2932960391718531,1.0320225574703286,0.020517683,0.9207662109375,0.09407422,0.1204333454370498,0.5367670378084634,0.0012599964000102,0.4867884321781264,0.2251296426295624,0.1162102707256197,0.0033632694,0.963003515625,1.013381444921736,0.816,0.6868,0.1098,7.0,0.5186959496247721
bert-small_10_2,0.14968185,0.0925207138061523,0.5000814283387762,0.0021857080408341,-0.4697072282473789,0.4872503909393402,0.2813371464643175,1.0296287075086743,0.028158128,0.9318986328125,0.08669527,0.1212609708309173,0.5089785457755835,0.0009514258530689,0.0704760440399931,0.1833198460677113,0.0966644865662406,0.0038554245,0.964408211143695,1.010806152470367,0.7981,0.6478,0.1363,10.0,0.47702457861492575
bert-small_6_1,0.1825757,0.0946795940399169,0.5153642418164519,0.0020999940000171,0.0938656224042291,0.3630126123095927,0.2094529203510314,1.0219485290281245,0.019857902,0.9371763671875,0.09876043,0.1098542213439941,0.5364756100696855,0.0023999931428767,0.3142822841085491,0.2305003913154028,0.1217328005297774,0.0066706594,0.96023330078125,1.0137257986764463,0.8281,0.7182,0.0926,6.0,0.5436399361786526
bert-small_30_3,0.23181753,0.0707987546920776,0.5118842517592807,0.0,0.1818387447377573,0.080821643379385,0.0529752915517787,1.00447748855258,0.006874338,0.8661568359375,0.16671516,0.0873759686946868,0.489538601318282,0.0,-0.1431696414687361,0.0893983782347854,0.0487562815452983,0.0071716616,0.8765300781250001,1.0049976823473867,0.787,0.6475,0.1656,30.0,0.3979521733509776
bert-small_13_3,0.17418738,0.0830830335617065,0.5089785457755835,0.0005571412653106,-0.0322209000179569,0.3655377771852262,0.2190317283164637,1.022123683749688,0.019408168,0.92893828125,0.10649849,0.1043426096439361,0.5203956560124114,0.000574284073474,0.212038124094826,0.1230337265508987,0.0647607708764931,0.0035358444,0.9556013671875,1.0070757685623872,0.7703,0.5878,0.1623,13.0,0.4460638874903935
bert-small_30_1,0.24065079,0.0696642994880676,0.5148585289756314,0.0,0.1674970131877295,0.0817605040501061,0.0539875935130168,1.0045355202209698,0.006279569,0.862969140625,0.17297933,0.0879804790019989,0.4890414598815432,0.0,-0.1633620507704545,0.0968071972862772,0.0529343299083596,0.007213806,0.8745061523437501,1.0054569568494878,0.7781,0.6288,0.1745,30.0,0.406343752584823
bert-small_8_1,0.23331401,0.0909039676189422,0.5318384804614844,0.0,0.2955165258730087,0.4312291233524286,0.2401472548459807,1.0261558052967157,0.018587667,0.93665810546875,0.13645063,0.1261106431484222,0.5339556172696649,0.0004457130122485,0.4588958345431871,0.1854298434401917,0.0935076311582489,0.005342625,0.96158564453125,1.0109267673566484,0.7832,0.6104,0.1282,8.0,0.4982080747460593
bert-small_8_2,0.16435282,0.0941734910011291,0.5217156522409936,0.0036514181388053,-0.2311118593527982,0.513449730878299,0.2899649941852699,1.031233868687332,0.019883962,0.92875888671875,0.09228929,0.1142265945672988,0.5427670206656552,0.0010542827020494,0.5368241257915554,0.193884049779542,0.100966616406601,0.004636893,0.96528203125,1.0114591570001317,0.8131,0.6822,0.1202,8.0,0.5069417663863127
bert-small_20_2,0.21475166,0.0721513926982879,0.5078642632449621,0.0,0.0355838080400318,0.1748633279436549,0.1130128569219977,1.0103201975656235,0.0113683045,0.8845041992187499,0.1473774,0.095801293849945,0.491870023228505,0.0,-0.0605611008614369,0.1259212978542128,0.0657575125661008,0.0040839836,0.91055732421875,1.0072553296587712,0.7511,0.5559,0.19,20.0,0.41970617431004986
