,p-error,p-centroids,p-point_dist,p-patchiness,p-iqr,a-error,a-centroids,a-point_dist,a-patchiness,a-iqr,EEE,VRM,IsoScore,p-under_mu,p-under_mu2,p-skew,a-under_mu,a-under_mu2,a-skew,p-count_var,p-count_kl,a-count_var,a-count_kl
bert-small_50_3,0.17453913,0.0043872776,0.8844232421875,1.0029420094573709,0.08069804310798645,0.12241674,0.0051655537,0.8868546875000001,1.0040896493973783,0.08757147192955017,0.8448,0.8061,0.1125,0.5264042102736849,0.0,0.3582540907358442,0.49998714289387747,0.0,-0.030359509556888813,0.05617466130352796,0.03481649231395225,0.07471389795241946,0.04204524337408007
bert-small_17_3,0.20341712,0.01632922,0.89561376953125,1.0145856201141947,0.07463982701301575,0.13540131,0.010398985,0.925277734375,1.0070954071113911,0.09700116515159607,0.7487,0.5466,0.1868,0.5108128262490679,8.571404081702625e-06,0.10169884761417662,0.5025328499061431,0.0,0.041722859878896144,0.24363022842212986,0.15498019457050022,0.12340818138012657,0.0625198595130215
bert-small_11_1,0.20263296,0.016513268,0.93488251953125,1.023496957469745,0.08542770147323608,0.12189796,0.0038298522,0.9593571289062499,1.009097760926496,0.11283120512962341,0.772,0.5886,0.1531,0.5095956868694661,0.0010628541061311254,-0.15844898775903885,0.5095185442327308,0.00045428441633023906,0.0961537739759741,0.38793054014651396,0.22836894304971528,0.15574526684172957,0.07997173912388938
bert-small_17_2,0.19440639,0.0113547705,0.8886851562500001,1.012334526822501,0.07371646165847778,0.13171263,0.0047185784,0.9183912109375001,1.0065278640361317,0.09655582904815674,0.7467,0.5453,0.1944,0.5144813871960365,2.571421224510787e-05,0.09344210500842906,0.5051642709592258,0.0,0.052209780362734444,0.20733206421592132,0.13466547623919778,0.11424076387203194,0.057997141492625005
bert-small_17_1,0.20952526,0.018192885,0.8946528320312501,1.0143005875551994,0.07862973213195801,0.13932207,0.0073921634,0.9251814453125,1.006590728787108,0.10432732105255127,0.7533,0.5574,0.1873,0.5145928154490987,6.8571232653621e-05,0.15813819870060328,0.5073928360204685,0.0,0.076751329577128,0.23901803995032775,0.1524494289689153,0.11523347868503778,0.05951876586005228
bert-small_50_1,0.1908721,0.0034778358,0.86332099609375,1.0017990221601647,0.07907634973526001,0.14087,0.0024587372,0.862670703125,1.0022961472867926,0.08636903762817383,0.8331,0.7797,0.128,0.5174213787960605,0.0,0.28077063590627704,0.5062614106816837,0.0,0.08883850061361666,0.03777865960192578,0.023461480866731804,0.045806415143620466,0.026792577892603076
bert-small_11_3,0.20604564,0.017794209,0.93046162109375,1.021381466733791,0.086110919713974,0.12554589,0.0042811516,0.9561093749999999,1.0072772098929248,0.10993978381156921,0.7695,0.5834,0.1551,0.5221699366573238,0.00040285599184002334,0.06516154626833831,0.5322670506655696,0.0,0.44120784796465135,0.35357704982032123,0.2116542706755404,0.12633316617767998,0.0649965502321892
bert-small_11_2,0.11661412,0.018703125,0.9270955078125,1.032664659793004,0.0851965844631195,0.06661227,0.008077225,0.96562568359375,1.0104649514160085,0.10219468176364899,0.8118,0.6836,0.1301,0.5119013945674441,0.0033599904000274285,-0.4232935910750417,0.5226413638818175,1.714280816340525e-05,0.3492439666488001,0.536660287992593,0.30353072728941455,0.17775700751294454,0.09437879211181102
bert-small_50_2,0.1759918,0.005261056,0.87184814453125,1.0024796915767422,0.07299500703811646,0.12713556,0.0049016187,0.87387451171875,1.0031670249225868,0.08137470483779907,0.833,0.7723,0.1227,0.5211499395716013,0.0,0.29911673796130656,0.5008271404938843,0.0,-0.00656339470411704,0.048722577561894964,0.030695128382332123,0.05983395939532174,0.03513487935210817
bert-small_12_3,0.2143099,0.019811535,0.9214580078125,1.0230809103451197,0.0804550051689148,0.13210541,0.002967475,0.9535449218750001,1.0075494100681053,0.10625806450843811,0.7619,0.5693,0.1694,0.5042128451061568,0.0006342839020459941,-0.23566642749140423,0.5135642469592944,0.00038571318367661806,0.1705264504832072,0.3808676750103579,0.23332147124543795,0.13067446614498937,0.0681777495751808
bert-small_60_1,0.15620136,0.0032450708,0.87900400390625,1.0025900496073485,0.07944124937057495,0.11204586,0.0032178955,0.8804386718749999,1.003582334418774,0.09185928106307983,0.843,0.7999,0.1152,0.5240642169593801,0.0,0.331050299142556,0.5060385541755595,8.571404081702625e-06,0.07185578315662919,0.05052588411072614,0.030465743789896485,0.06651015104174157,0.03823972101442759
bert-small_12_2,0.17164233,0.021995533,0.9336447265625,1.0228825641152632,0.08143982291221619,0.10323081,0.0023072173,0.9581572265625,1.0063595748426837,0.10472264885902405,0.7768,0.6005,0.1558,0.5044785586326896,0.0022542792734877902,-0.6588969767438337,0.5145156728123634,0.0005057128408204548,0.13287318848293747,0.3778283175317174,0.22502115528597824,0.11146659207833108,0.05884016501742728
bert-small_23_2,0.19142145,0.0146973375,0.8761585937499999,1.009966088895227,0.07348185777664185,0.13327166,0.009618398,0.9011458984375,1.0076834944610913,0.09536975622177124,0.7613,0.5816,0.1846,0.5153213847960434,1.714280816340525e-05,0.1465179243630358,0.49964428673060934,0.0,-0.002222340995838455,0.16910362965416376,0.11174218175883757,0.13284230269693897,0.06837761395099103
bert-small_23_3,0.2540209,0.01158244,0.8539493164062499,1.0058636410888397,0.06789538264274597,0.18438128,0.0062128007,0.8703769531250001,1.0057340912005546,0.08797740936279297,0.75,0.5586,0.1954,0.5096042582735478,0.0,0.09512839466461698,0.4913728817917663,0.0,-0.14146402105246797,0.1031105255832484,0.0667786912684325,0.10129874500427728,0.05515621757131861
bert-small_23_1,0.21944824,0.008046109,0.85565576171875,1.006708801647099,0.07064777612686157,0.1583697,0.010075415,0.87256474609375,1.0059627665958768,0.08749029040336609,0.7532,0.5649,0.1961,0.5164613815389099,0.0,0.18845652416681666,0.4955385841754738,8.571404081702625e-06,-0.08215370813665,0.11666764262239887,0.0787366842634444,0.10496241738548079,0.05709994018414753
bert-small_60_3,0.16936114,0.004009261,0.88715263671875,1.0025557578196282,0.07604178786277771,0.11890846,0.0041641304,0.88903642578125,1.0040301283660704,0.088189035654068,0.8417,0.8025,0.1239,0.5184413758817832,0.0,0.26552488141599373,0.49211859394687446,0.0,-0.09721532888163498,0.04997118470230756,0.030286685661373505,0.07374191140517267,0.04251795470974111
bert-small_12_1,0.22287966,0.025807321,0.9298052734375,1.0243799069385982,0.08668351173400879,0.13459757,0.002698235,0.9584258789062501,1.007846817740059,0.11515378952026367,0.772,0.5887,0.1534,0.5095014014245673,0.0019971371510367113,-0.2167551488933028,0.5116271096368296,0.00019714229387916035,0.19591788048518863,0.40217216671562095,0.23844116703804175,0.13546105736648,0.0719399245165614
